STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",13,21.5,7.5,5.7,50,1.5,2.21,10,23,2013
3367,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",13,17.7,5.8,6.9,68,3.1,4.9,197,463,2013
3368,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",13,17.9,6.9,7.2,44,1.4,2.66,14,33,2013
1633,"SIMSANG RIVER WILLIAMNAGAR, 13",13,23.9,7.8,7.3,93,1.9,2.99,264,444,2013
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",13,18,6.6,7,66,2.3,4,29,63,2013
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",13,18.4,7.6,7.1,53,1.7,3,23,53,2013
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",13,18.8,7.8,7,47,1.4,2,8,35,2013
3356,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",13,24.8,7.7,7.4,128,1.6,3.32,25,56,2013
3350,UMKHEN AT WAHKDAIT,13,19.3,7.1,7,54,1.8,2.58,20,43,2013
3351,UMKHEN AT KSEHPONGDENG,13,20.6,7.4,7,69,1.6,3.3,17,87,2013
3352,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",13,20.7,7.5,7.2,58,1.6,2.25,21,46,2013
3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",13,18.4,3.1,7.2,401,21.8,19,22556,31444,2013
3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",13,19.1,4.7,7.2,202,13.6,15,13444,20056,2013
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",13,19.7,2.1,7.2,303,37.2,18.2,39444,62333,2013
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",13,20.1,1.8,7.2,394,40.6,15.4,57222,96944,2013
3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",13,17.6,7.2,6.9,55,1.7,3.04,26,56,2013
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",13,22.7,7.9,7.1,55,1.2,3.55,23,50,2013
3363,"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",13,17.9,6.9,6.9,52,2.2,3.48,1576,45,2013
3364,"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",13,18.9,1.9,7,306,34.2,17.9,48278,85667,2013
3365,"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",13,19.4,4.5,7.1,196,15.5,11,48611,43333,2013
1427,"UMTREW AT BYRNIHAT EAST, 13",13,23.7,7.2,7.1,107,6.7,5.56,303,476,2013
3366,"UMTREW RIVER AT UMRAN, RINAN BHOI",13,22.7,7.5,7,82,2.1,3.02,45,122,2013
2050,TLAWNG UPSTREAM AIZAWL,14,23.6,7.1,7.5,189,1.9,1,NAN,NAN,2013
2051,TLAWNG DOWNSTREAM AIZAWL,14,23.8,7,7.6,197,1.8,1,NAN,NAN,2013
2052,TUIRIAL UPPER CATCHMENT,14,23.5,7.2,7.9,158,1.9,0.95,NAN,NAN,2013
2053,TUIRIAL LOWER CATCHMENT,14,23.5,6.5,7.8,161,1.8,0.99,NAN,NAN,2013
1403,"GUMTI AT U/S SOUTH 15,15",15,27.4,6.6,7.7,165,1.7,0,280,325,2013
1404,"GUMTI AT D/S SOUTH 15, 15",15,21.9,6.7,7.8,167,4.8,1,440,520,2013
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, 15",15,27.5,6.6,7.7,183,3.7,1.55,415,575,2013
1393,DAMANGANGA AT D/S OF MADHUBAN,16,31,7.1,7.8,151,8,0.08, , ,2012
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,17,28,7.2,7.4,319,0.7,0.18,5,10,2012
1865,RIVER DHADAR AT KOTHADA,17,27,6.2,8.4,894,9,0.38,140,350,2012
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESHWAR,17,30,2.2,8,1835,17.9,0.86,10478,25478,2012
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,17,31,2,7.7,3165,32.3,3.44,11498,15173,2012
1149,KOLAK AT PATALIA BDG,17,29,2.4,7.6,1500,6.2,1.31,3,13,2012
1399,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,1,31,5.9,7.2,52,2.1,0.08, ,90,2012
1475,ZUARI AT PANCHAWADI,1,30,6.1,6.8,408,1.3,0.17,1300,3808,2012
3181,RIVER ZUARI AT BORIM BRIDGE,1,30,5.5,6.9,143,1.3,0.09,4100,11113,2012
3182,RIVER ZUARI AT MARCAIM JETTY,1,29,5.4,7.2,60,1.5,0.08,428,2309,2012
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,1,29,5.8,7.2,34,5.3,0.17,855,3322,2012
1476,"MANDOVI AT TONCA, MARCELA",1,29,5.9,6.7,125,1.5,0.14,1638,5793,2012
3185,MANDOVI AT AMONA BRIDGE,1,28,6.4,6.7,175,1.3,0.1,772,3636,2012
3186,RIVER MANDOVI AT IFFI JETTY,1,30,6.2,7.7,39,1.3,0.06,1296,4517,2012
3187,MANDOVI NEAR HOTEL MARRIOT,1,30,6.1,7.8,39,1.5,0.06,1032,5840,2012
1543,KALNA AT CHANDELNAN PERNEM,1,27,7.3,6.9,61,0.7,0.09,1430,4388,2012
1548,RIVER ASSONORA AT ASSONORA,1,28,6.8,6.6,71,1.5,0.14,2495,3949,2012
2276,"BICHOLIM VARAZAN NAGAR, BICHOLIM",1,29,7.4,6.5,129,2.3,0.49,5868,16691,2012
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",1,28,7,6.8,503,1.6,0.66,965,2404,2012
3189,RIVER CHAPORA AT SIOLIM,1,29,6.3,7.5,31,1.6,0.06,1466,4267,2012
1546,KHANDEPAR AT OPA NAN PONDA,1,29,7.1,6.8,70,0.8,0.17,716,3567,2012
2270,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",1,30,7.3,6.8,69,1.2,0.12,457,2446,2012
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",1,28,6.7,6.6,118,1,0.22,1104,3496,2012
1545,RIVER MADAI AT DABOS NAN  VALPOI,1,28,7.4,6.8,80,1.3,0.06,274,1404,2012
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,1,29,4.5,6.6,250,2.4,0.16,1572,5889,2012
2271,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",1,28,6.1,6.9,74,1.8,0.19,1074,3937,2012
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",1,30,5.9,7.3,44,1.6,0.14,962,2794,2012
3183,"SAL AT KHAREBAND, MARGAO",1,30,2.4,6.5,195,4.8,0.35,7980,14217,2012
3184,"SAL AT ORLIM BRIDGE, ORLIM",1,31,4,6.8,207,1.8,0.34,818,2280,2012
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),1,29,5.4,7.6,40,1.6,0.07,290,1330,2012
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,1,30,5.3,7.6,41,1.4,0.08,952,2517,2012
1547,RIVER TALPONA AT CANACONA,1,29,7,6.9,54,0.8,0.21,667,3059,2012
3188,RIVER TIRACOL AT TIRACOL,1,29,5.9,7.7,44,2.1,0.08,1200,831,2012
1544,VALVANT AT SANKLI NAN BICHOLIM,1,29,7.1,6.5,60,1.7,0.13,2926,8163,2012
2651,"AMBA AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",2,29,6.9,7.7,99,3.3,0.56,53,123,2012
1461,BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),2,30,6.6,7.9,123,3.2,0.52,44,104,2012
2653,"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR,THANE",2,27,6.6,7.7,220,3.6,0.65,25,77,2012
2654,"BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",2,27,6.8,7.7,219,3.4,0.63,23,75,2012
1092,KALU AT ATALE VILLAGE,2,27,4.8,7.2,5429,8.4,2.08,177,408,2012
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",2,23,6.4,8,493,4.2,3.91,17,68,2012
1152,KUNDALIKA AT ROHA CITY,2,29,6.8,7.6,100,3,0.54,124,295,2012
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),2,29,6.7,7.5,316,4.6,0.6,47,132,2012
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",2,28,5.8,7.9,37227,9.5,1.42,231,451,2012
2672,"KUNDALIKA AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",2,29,6.9,7.7,84,3.1,0.42,69,168,2012
2168,MITHI RIVER,2,25,4.9,7.6,21254,55.5,2.18,560,964,2012
2676,"MUCHKUNDI RIVER AT  WAKED, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",2,28,6.9,7.9,312,2.7,1.58,4,107,2012
1151,PATALGANGA AT SHILPHATA,2,29,6.8,7.5,146,3,0.6,124,241,2012
1462,PATALGANGA NEAR INTAKE OF MIDC W/W,2,29,6.7,7.3,127,2.9,0.59,100,209,2012
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",2,29,5.6,6.9,432,4.5,1.72,58,173,2012
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",2,29,6.5,7.3,126,3,0.59,132,284,2012
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",2,30,7.1,7.5,128,3,0.6,136,297,2012
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",2,30,6.4,7.3,129,3.1,0.6,68,191,2012
2689,"PATALGANGA AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",2,29,6.9,7.7,129,2.9,0.55,135,268,2012
2696,"PEHLAR DAM ON PEHLAR INLET OF WATER WORKS, VASAI, THANE.",2,25,7,7.9,153,2.9,0.55,30,86,2012
2199,SAVITRI RIVER AT OVALE VILLAGE.,2,30,6.4,7.6,10165,3.7,2.14,5,139,2012
2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",2,30,6.9,7.7,307,2.8,3.6,4,123,2012
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",2,31,6.3,7.7,322,3.5,1.1,4,116,2012
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",2,30,6.5,7.5,5835,3.4,1.72,4,126,2012
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",2,30,6.3,7.4,9245,4.7,2,4,134,2012
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",2,28,6.5,8.1,1907,4,0.55,46,115,2012
2707,"SURYA AT MIDC PUMPING STN, GARVASHET, PALGHAR, THANE",2,28,7,8,1896,3.5,0.64,190,245,2012
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",2,28,7,8,206,2.9,0.56,31,74,2012
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",2,27,6.8,7.8,239,3.3,0.56,33,77,2012
1093,ULHAS AT U/S OF NRC BUND AT MOHANE,2,27,6.4,7.6,152,3.2,0.96,62,142,2012
1094,ULHAS AT U/S OF BADLAPUR,2,26,6.7,7.7,146,3,0.89,30,73,2012
2162,ULHAS ATJAMBHUL WATER WORKS,2,27,6.7,7.6,137,2.9,0.76,24,64,2012
